Product,Category,Price,Stars,Summary,URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech M330 Silent Plus Wireless Mouse – Enjoy Same Click Feel with 90% Less Click Noise, 2 Year Battery Life, Ergonomic Right-hand Shape for Computers and Laptops, USB Unifying Receiver, Black",Accessories,S$25.99,4.6,"This is M330. Perfect for people who want to use in an enclosed space, maybe like library, or in court. Comfortable to hold. Affordable. For use with my MacBook",https://www.amazon.sg/Logitech-M330-Silent-Wireless-Mouse/dp/B01JPOLKDW/ref=sr_1_1?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech MX Master 3S Performance Wireless Mouse 8K DPI Graphite,Accessories,S$148.73,4.8,"The roller-wheel broke within 3 months. You cannot feel the ""notches"" of the wheel, and it spins freely. There is no easy way to configure the extra buttons.",https://www.amazon.sg/Logitech-MX-Master-3S-Performance/dp/B0B11LJ69K/ref=sr_1_2?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wireless Keyboard and Mouse,JOYACCESS 2.4G Ergonomic and Slim Wireless Computer Keyboard Mouse Designed for Windows, PC, Laptop,Tablet - Black Grey",Accessories,S$35.99,4.2,The response is quick and there's hardly any noticeable lag. The mouse however is terrible. I can only get it to work if it is less that 1 foot (30cm) from,https://www.amazon.sg/Wireless-Keyboard-JOYACCESS-Ergonomic-Computer/dp/B07Y9PMKV2/ref=sr_1_3?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech M331 Silent Plus Wireless Mouse 2.4GHZ Connection 1000DPI Black,Accessories,S$23.90,4.5,"Good quality not completely silent but there is definitely no sharp clicking from the the microswitch. However, the connection gets lost after a few minutes of non- usage even though it is perpetually",https://www.amazon.sg/Logitech-Silent-Wireless-Connection-1000DPI/dp/B01MQ2A86A/ref=sr_1_4?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech M650 L Signature Wireless Mouse Graphite,910-006247",Accessories,S$42.83,4.5,The Logitech Signature M650 L full size Wireless Mouse has been a revelation in terms of comfort and functionality. It's not just a mouse; it's an ergonomic solution designed specifically,https://www.amazon.sg/Logitech-Signature-Wireless-Graphite-910-006247/dp/B09QXCWLNS/ref=sr_1_5?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wacom CTL672K1A Graphic Drawing Tablet for Beginners, Black & Red, Medium",Accessories,S$55.99,4.6,"A great choice for beginners, arrives in time and without any problem. If your PC is not very recent it may take a long time to download and install the drivers. Works great but",https://www.amazon.sg/Wacom-CTL672K1A-Graphic-Drawing-Beginners/dp/B07XW9WW98/ref=sr_1_6?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Desk Mat Studio Series (Mid Grey),Accessories,S$25.90,4.6,This has to be the best desk mat i have ever bought. Non slip and this the real stuff. Works well with all my mouse without needing an extra smooth mouse pad.,https://www.amazon.sg/Logitech-Desk-Mat-Studio-Grey/dp/B09K3NHSZJ/ref=sr_1_7?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech MX Anywhere 3 Compact Performance Mouse, Wireless, Comfort, Fast Scrolling, Any Surface, Portable, 4000DPI, Customizable Buttons, USB-C, Bluetooth - Graphite,910-005992",Accessories,S$104.80,4.8, MX Anywhere 3 is worth the extra cost. It pairs and switches between devices effortlessly. The battery lasts so long I forget it needs to be charged. Good integration and programmability,https://www.amazon.sg/Logitech-Performance-Scrolling-Customizable-Bluetooth/dp/B08NLQ9CQK/ref=sr_1_8?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rii (Upgrade) i4 Mini Bluetooth Keyboard with Touchpad, Blacklit Portable Wireless Keyboard with 2.4G USB Dongle for Smartphones, PC, Tablet, Laptop TV Box iOS Android Windows Mac.Black",Accessories,S$38.78,4.3,keyboard easy to type on and the backlit a great feature. But i wish it comes with a more detailed manual cos lots of great feature but difficult to explore the function Mainly,https://www.amazon.sg/Rii-i4-Bluetooth-Smartphones-Mac-Black/dp/B07T13GLY3/ref=sr_1_9?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logitech Signature M650 L Wireless Mouse Smartwhell Scrolling Off White,Logitec67798",Accessories,S$40.79,4.4,The mouse works well and fits very well in the hand. Got this to replace my previous logitech M720 that stopped working. Hope this lasts!,https://www.amazon.sg/Logitech-Signature-Smartwhell-Scrolling-Logitec67798/dp/B09TNY4B9Z/ref=sr_1_10?dd=XxiCC2ZWJEAm8lrakuHHqw%2C%2C&qid=1695850872&refinements=p_n_prime_domestic%3A7993547051%2Cp_36%3A2000-%2Cp_90%3A6832965051&rnid=6450031051&s=computers&sr=1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
