ASIN,Product,Category,Price,URL,Stars,Summary
B009WDNL70,ICY DOCK Cremax mb153sp-b storage mb153sp-b 3x3.5inch sata 2x5.25in,RAM,S$24.90,https://www.amazon.sg/ICY-DOCK-mb153sp-b-3x3-5inch-2x5-25in/dp/B009WDNL70/ref=sr_1_357?qid=1695821519&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-357,4.1,"Fitted this unit into a X-Case D214 2U Short Rackmount PC Case. Due to space restrictions, required to replace the standard fitted fan with a slimline model."
B004E2OUEM,"imation Products - imation - 3.5"" Diskettes, IBM-Formatted, DS/HD, 10/Box - Sold As 1 Box - Cost effective. - Low torque reduces diskette drive wear. - Antistatic design. - Formatted. -",RAM,S$55.59,https://www.amazon.sg/imation-Products-IBM-Formatted-effective-Antistatic/dp/B004E2OUEM/ref=sr_1_376?qid=1695821523&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-376,4.8,"The sliding portion is plastic, not metal as shown in the image. They work, as expected. Seller was true to their description."
‎B08C4WV6FT,Crucial RAM 16GB Kit (2x8GB) DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT2K8G4SFRA32A,RAM,S$48.72,https://www.amazon.sg/Crucial-3200MHz-2933MHz-2666MHz-CT2K8G4SFRA32A/dp/B08C4WV6FT/ref=sr_1_1?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-1,4.8,The package came as described and in bubble wrap. It was delivered within the delivery date range and has been working properly. Would buy again from same supplier.
‎B08SQRF8MJ,"Corsair CS-CMH32GX4M2D3600C18W Vengeance RGB PRO SL 32GB (2x16GB) DDR4 3600Mhz C18 Memory Kit, White",RAM,S$260.06,https://www.amazon.sg/Corsair-CS-CMH32GX4M2D3600C18W-Vengeance-2x16GB-3600Mhz/dp/B08SQRF8MJ/ref=sr_1_2?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-2,4.8,"The inclusion of two 16GB RAM sticks has provided a substantial boost to my computer's memory capacity. With a total of 32GB, I can comfortably run memory-intensive applications, multit"
‎B07RDQ1FCB,"CORSAIR CMSX32GX4M2A3000C18 Computer Memory, ddr4, 2 x 16GB",RAM,S$109.02,https://www.amazon.sg/CORSAIR-CMSX32GX4M2A3000C18-Computer-Memory-ddr4/dp/B07RDQ1FCB/ref=sr_1_3?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-3,4.8,"Amazon support gave me a new replacement with no questions asked. Great price for RAM, fast action arrived the next day. Great product and fast delivery."
‎B07D5SDT6M,CORSAIR VENGEANCE RGB PRO 32GB (4x8GB) DDR4 3600MHz C18 LED Desktop Memory - White,RAM,S$119.98,https://www.amazon.sg/CORSAIR-VENGEANCE-3600MHz-Desktop-Memory/dp/B07D5SDT6M/ref=sr_1_4?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-4,4.8,Price is reasonable and most impressively its the next day delivery. LED lighting is nice. Updated as 3000MHz after enabling (select profile) DOCP in BIOS.
‎B083TRRT16,Crucial Ballistix 3200 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL16 BL2K8G32C16U4B (Black),RAM,S$161.88,https://www.amazon.sg/Crucial-Ballistix-Desktop-Gaming-BL2K8G32C16U4B/dp/B083TRRT16/ref=sr_1_5?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-5,4.8,"Product arrived in new condition and as ordered. Booted XMP to 4400m transfers no issue. Packaging appropriate for small item, received in very good condition."
‎B07RM39V5F,"Corsair CMK16GX4M2D3600C18 Vengeance LPX 16GB (2 x 8GB) DDR4 DRAM 3600MHz C18 Memory Kit, Black",RAM,S$52.02,https://www.amazon.sg/Corsair-CMK16GX4M2D3600C18-Vengeance-3600MHz-Memory/dp/B07RM39V5F/ref=sr_1_7?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-7,4.8,Small size also makes it compatible with my CPU cooler. Bought it last time and will definitely buy again if I need an upgrade. Good value for the price.
‎B07ZPLM1R1,"CORSAIR CMK32GX4M2D3600C18 Vengeance LPX 32GB (2 x 16GB) DDR4 DRAM Memory Kit, Black, 32GB Kit (4 x 8GB)",RAM,S$61.90,https://www.amazon.sg/CORSAIR-CMK32GX4M2D3600C18-Vengeance-Memory-Black/dp/B07ZPLM1R1/ref=sr_1_8?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-8,4.8,The Corsair VENGEANCE LPX DDR4 RAM 32GB kit is a solid choice for anyone looking to upgrade their system's memory. With 32GB of memory and a 3600
‎B0143UM4TC,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz (PC4-25600) C16 Memory Kit - Black,RAM,S$44.54,https://www.amazon.sg/Corsair-Vengeance-3200MHz-PC4-25600-Memory/dp/B0143UM4TC/ref=sr_1_9?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-9,4.7,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz. Runs well with 13600kno issues running at 4000mhz cl16
